Rank,Address,NFT_Count,Total_DOLO,Vote_Weight,Earliest_Lock_End,Latest_Lock_End,Token_IDs
186,0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,2,0,58.1747,,,403;6285
187,0x2E1531c10054b22d2564e020Dc3a95dcC0d940cc,2,0,55.0821,,,404;4770
188,0x35856D76F488DDE751CCC213e1c8C5b836F10d3d,1,0,26.8061,,,406
189,0xD255373BD8961CB47a8Bbb33157d45a10084A8E3,2,0,10.5801,,,407;12191
190,0xFE2575C6402E56FA977651Ea30bBFA0d3B4aE578,1,0,0.611,,,408
191,0xf11B97E33fd6e05D0410165844d641C0A4B3C46E,1,0,19348.733,,,410
192,0x236A298f78a01B8f8fE8af8463989863e7F29baB,1,0,317.67,,,411
193,0x5E56921FeD31D3C9c3CA99C2539E6A72afdd8D98,1,0,67.1426,,,413
194,0x28DA3DdE285D8F1f87B2D858f89961Bb8B9Af180,32,0,89875.6124,,,414;422;442;464;470;475;15204;15205;15345;15488;19896;21512;21513;21514;21838;22044;22045;22215;22455;22456;22609;22775;22776;22777;22875;22980;23004;23255;23360;23401;23512;23513
195,0x208179E4bbe02BeCF0dEBe91305B702f751c0738,1,0,1505.6141,,,415
196,0xA38CED0779c32df55b3623762c72318428455F28,1,0,23.2435,,,417
197,0x034350D7CfD289a5D3698a2369A5fF1cCD9Faee3,1,0,41.9243,,,419
198,0x2ab9Fb108Dd6297c4a45D616f23BA17Bb66471f5,1,0,3.5595,,,420
199,0x2463ae2C35ac83D1278d624E181841000f4BCC15,1,0,0.0026,,,423
200,0xae66f023f3bD067f2C58e25b225eDEd462F9c99C,1,0,32.8233,,,424
201,0x9A9AB4d9f84d9c6797a963445D0A369A4796E0fF,1,0,37470.5846,,,428
202,0x557cEE07243d4E188535C857F20324BaaE270E3e,1,0,0.2114,,,430
203,0x65Ef8f2273Ef5ce8B11EE6cDc4Cf7281FA1205B5,1,0,362.8102,,,431
204,0x6953a35Fc1A009A4C3B879D0416609E40231468A,2,0,11737.3549,,,432;23292
205,0x27fAe42E93707f93018C965cf3F16a67D848d1Ff,1,0,376.191,,,433
206,0x45a1FE688c01CCfd4606aC31D1F7b10FE2aa875e,1,0,0.0133,,,434
207,0x58B5710900811f0818456E481cC57D768548F898,1,0,0.0,,,435
208,0x658191594cdA88744d8158813029420dcf137A32,1,0,1941.0124,,,441
209,0x11A458D9Db363599767D0b9B71782387A350edCb,1,0,2401.1285,,,443
210,0x0cb3dBaeCaC7A8CCe19463E0d1F973f3004bBCc5,1,0,2.6785,,,444
211,0x00cDEbc042C87C95e439E1AeFa0Bd3a8014dA577,1,0,0.7636,,,446
212,0x3e92d661Bd5063f7Df955d68E123b96D069069e9,1,0,35.3979,,,448
213,0xF05C11a15aCA92C7F8864D20D9eDc845C02e9a30,2,0,103.8152,,,453;16934
214,0x3021A59F56cAe360183C40965D7059a4a73A7Ba7,1,0,0.3109,,,454
215,0x31AabeEF5e9EdEf15B8a911c36F5d07c7518a309,1,0,969.7074,,,457
216,0x57e61a64D21AFE3837028B5783BD7332436e2C7B,4,0,410.1773,,,461;12094;22014;22200
217,0x4E342f8988fD2668059B3fDF4729f01c1a2D6972,1,0,108.0471,,,462
218,0xa9811f9f6B8bCA7f9F91f850A98310e63FBB7326,3,0,2.9976,,,465;4866;12610
219,0x5Bc0AEbdbab698e12FD33A2E133e6858fe6Cdd76,1,0,4.9504,,,467
220,0xdBa8411717B85B24E5eB3A2B21a3aA265F9F74c3,1,0,146.9608,,,468
221,0xa4b24d30313c1DE69312a593cc5F777a74056248,1,0,61.7217,,,472
222,0xEf643dDE68777C39a7004F0aB8c7F1dBae8B151d,1,0,0.342,,,480
223,0x550339b44E603c3CbE6b0c00cf70BbFE16C5A04a,1,0,1161.6458,,,482
224,0xF8253EAe286d2B3AAab470b8118E60b86021Cb2F,1,0,1649.9036,,,483
225,0x6f69286d7C51DE0f0cF5F3C03c8cA3edA8a322F9,1,0,1456.713,,,486
226,0xea5a5Bd9DCC9Af8BB4515e25B28886C35daD3334,1,0,0.0,,,489
227,0x46a83dC1a264Bff133dB887023d2884167094837,2,0,35046.9892,,,492;4693
228,0xfF32A35835e70BA4a6e8936ea5796c5B531a2e29,1,0,1857.7017,,,493
229,0x2D1a0F69ea53d61b4f74648Ca1db523610784406,1,0,3232.4078,,,494
230,0x41e41b40856D31FFCC36b0E8313945F3C4D2B014,1,0,53.5946,,,496
231,0x62223bb2a4781c9512E5b78cEf1655D1d9cD216d,3,0,439.9642,,,499;4071;9500
232,0x71CE73552335414B2312C7d1581F9735aAD5c71A,10,0,428.0229,,,501;20767;21011;21280;21354;21584;21886;21887;22062;22276
233,0x38A372E98101708911675801225554ac6d524B2f,1,0,0.0324,,,503
234,0x18B0046eF6Ee3fD03bA91A190e37E7AE72b89D8b,1,0,6851.031,,,504
235,0x8F41e1Ac51Bf52Ad1bd806552A2d0fF419c43B03,1,0,77.0012,,,507
236,0xB216965Bfb2c8EA95165f0a1e9a7a64B6c1d94bA,1,0,8053.9537,,,509
237,0x257d74Fc229f91de6285a4C7bDd6D5004dE9Aa31,1,0,4816.0643,,,510
238,0x6C6BeD65c3b1196ef364B147D9390B99165BfbFA,1,0,0.0,,,512
239,0x48aa9d67cb713804C005516BCa7769c159d7897C,2,0,396.3856,,,514;6619
240,0xE8d35e693b053c8cf9E0C565ea168549f032c4B6,1,0,809.0147,,,515
241,0x5A1d68934c56F5289997fBEA876F879B1840CF94,1,0,0.0058,,,519
242,0x580717E6E0d7158DA125Fe1476A8B63cd90FF509,1,0,1.2671,,,524
243,0x3976641D41d423F08cb2A00B25BF225BE965568B,1,0,0.2238,,,525
244,0x475b3328C5134e67192df2CDc31bB4E2b5B59dd3,1,0,150.7756,,,526
245,0xb3AF8fBC63aBAEa31e0A4dDB268e15A9aB6dC67f,1,0,0.0,,,528
246,0xB1C2da2E1fA1bF238A4BE065134d261661326Fe6,1,0,239.4142,,,529
247,0x3cbF175bA7c1f5fBc16A52ce15b09fed60dd483c,6,0,1356866.802,,,531;15315;15316;21606;22870;23441
248,0xe3D871d389BF78c091E29deCe83200E9d6B2B0C2,2,0,0.0715,,,536;5876
249,0x9Eff8240347674574B63b3dB78f78fe251b50fD9,2,0,1925.2955,,,539;4848
250,0x1605d2893Df5a34a7CC8Ca0b2345a98283d82e14,1,0,60.8475,,,540
251,0x87EE12898A2b9Ee67F1b577C0B84d769c4844432,2,0,7568.4224,,,541;17609
252,0x0EAeA94B84Ef62FA7E30624041051537561ea470,1,0,5.3612,,,542
253,0xd670C6874347b5C905903985799AD03963B72De8,2,0,15.5037,,,543;13836
254,0x47aFE0796E3AF8eb99a76Dd56f6Fa27700C39881,1,0,133.5048,,,544
255,0x5881d9BfFf787C8655A9b7F3484aE1a6f7a966E8,2,0,8.5305,,,545;4726
256,0xd0C0338BaaC9cE09C1d1caAb88B4360507061e37,1,0,2.5789,,,548
257,0x484562740c97E67382A3a2eF9423474752936339,1,0,30.4446,,,549
258,0xa716c2ef62B60cF82B8119947030ea7E26A39908,3,0,89.5977,,,550;9944;9945
259,0x99e27746e33c9886f6A3A19336E0aB753F962db9,1,0,0.0,,,553
260,0x7969638874d5b33eEF52E0Ff983a82F0ecDdeE42,1,0,332.9185,,,554
261,0x3EB184D5A3074480de12510f84446f0Ca7638a8C,1,0,1456.2459,,,555
262,0x10fe29D92741817293AaA1a241050b0dC384a95e,1,0,50920.5155,,,556
263,0x12cDa3e710b5C08E5fC771f23c3Bc43F7351337B,2,0,3415.1045,,,558;4592
264,0xf9e1D1e9F22c96752356AdFd377231528c7E851E,1,0,3759.2241,,,563
265,0xc113E1BE40D50E533cB7a69b77948ce841e1c90B,1,0,6.0052,,,564
266,0x8129AB64D6A32aA3369a2B5eDd9e7D795eB0D3a6,1,0,0.6617,,,565
267,0x9B6cB5ee13014110211304De0C5CEE1D9410a67f,1,0,0.0,,,573
268,0x4144910942b13c8f6D25A7Da5AD1998781C6249D,1,0,170.2626,,,574
269,0xd26CD4DC785Af7FEd072AA9677214ca208A88274,1,0,23.5018,,,575
